Organization|Mission Statement|Category|City|Volunteer Opportunities|Address|Phone Number|E-mail|Website|Notes||||||||||||||||
Texas Advocacy Project|To prevent domestic and dating violence, sexual assault, and stalking throughout Texas by providing free legal services, access to the justice system, and education.|Abuse|.|Provide clerical assistance; Help plan and execute special events and donation drives; Assist with fundraising, awareness-raising, and community outreach; Internships available to law students|.,.,.,0|(512) 476-5377|dbeirne@texasadvocacyproject.org|www.texasadvocacyproject.org|No address provided (possibly for security reasons)||||||||||||||||
Texas Association Against Sexual Assault (TAASA)|To serve as the unifying voice for the elimination of sexual violence in Texas. As the statewide coalition of rape crisis centers, advocates, and survivors, we are committed to fostering a culture that respects the fundamental rights and dignity of all Texans.|Abuse|.|"Participate in statewide projects; Help with awareness-raising and community outreach
"|"6200 La Calma Drive Suite 110,
Austin, TX, 78752"|(512) 474-7190|info@taasa.org|www.taasa.org|No stated volunteer opportunities; I came up with these based on info on the website||||||||||||||||
Texas Council on Family Violence |To promote safe and healthy relationships by supporting service providers, facilitating strategic prevention efforts, and creating opportunities for freedom from domestic violence.|Abuse|.|None provided|"PO Box 163865,
Austin, TX, 78716`912 S Capital of Texas Hwy Suite 340,
Austin, TX, 78746"|(512) 794-1133|None provided|www.tcfv.org|.||||||||||||||||
American Civil Liberties Union|to defend and preserve the individual rights and liberties guaranteed by the Constitution and laws of the United States.|Activism/Public Policy|.|Volunteer sign-up form: https://action.aclu.org/volunteer/get-engaged-your-community-0 |"125 Broad Street 18th Floor,
New York, NY, 10004`P.O. Box 12905,
Austin, TX, 78711-2905"|"Main organization: (212) 549-2500`ACLU of Texas Austin Office:
(512) 478-7300"|ACLU of Texas: acluinfo@aclutx.org|www.aclu.org|"First address is the main office in NY. Second is mailing address for TX Chapter
"||||||||||||||||
Center for Public Policy Priorities|To use data and analysis to advocate for solutions that enable Texans of all backgrounds to reach their full potential. To dare Texas to be the best state for hard-working people and their families. |Activism/Public Policy|.|Internships |"7020 Easy Wind Drive Suite 200,
Austin, TX, 78752
"|(512) 320-0222|davidson@cppp.org|www.cppp.org |.||||||||||||||||
Envision Central Texas|.|Activism/Public Policy|.|.|.,.,.,0|.|.|.|Appears non-active. Website down and phone number not working.||||||||||||||||
Grassroots Leadership|To work for a more just society where prison profiteering, mass incarceration, deportation, and criminalization are things of the past.|Activism/Public Policy|.|"Internships; Volunteer sign-up form: http://grassrootsleadership.org/volunteer-sign-form

"|"2301 East Cesar Chavez Street,
Austin, TX, 78702"|(512) 499-8111|mdorta@grassrootsleadership.org|www.grassrootsleadership.org|.||||||||||||||||
Gray Panthers|.|Activism/Public Policy|.|.|.,.,.,0|.|.|.|Appears non-active. Website down and phone number not working.||||||||||||||||
League of Women Voters of Texas|To empower voters and to create a democracy where every person has the desire, the right, the knowledge, and the confidence to participate. We believe in the power of women to create a more perfect democracy.|Activism/Public Policy|.|Register and educate voters; Fundraise; Build community relations; Manage office tasks; Research issues; Observe local governmental activities; Prepare and help with events|"1212 Guadalupe Street #107,
Austin, TX, 78701"|(512) 472-1100|lwvtexas@lwvtexas.org|"www.lwvtexas.org
"|.||||||||||||||||
Liveable City|To promote and protect the long-term social, environmental, and economic well-being of all Austin residents.|Activism/Public Policy|.|None provided|.,.,.,0|None provided|None provided|www.liveablecity.org|Possibly non-active, though website may be being updated. Phone number not working. ||||||||||||||||
Mothers Against Drunk Driving| To end drunk driving, help fight drugged driving, support the victims of these violent crimes, and prevent underage drinking.|Activism/Public Policy|.|Provide emotional support for drunk driving victims and their families; Provide court system support; Monitor court cases and report outcomes; Fundraise and provide office support; Conduct community outreach and education |"3910 S IH 35 Frontage Rd #225,
Austin, TX, 78704"|(512) 445-4976|tx.state@madd.org|www.madd.org/tx|.||||||||||||||||
Public Citizen|To fight for openness and democratic accountability in government; for the right of consumers to seek redress in the courts; for clean, safe, and sustainable energy sources; for social and economic justice in trade policies; for strong health, safety, and environmental protections; and for safe, effective, and affordable prescription drugs and health care.|Activism/Public Policy|.|Join a campaign |"309 East 11th St. Suite 2,
Austin, Texas, 78701"| (512) 477-1155|texasfeedback@citizen.org|www.citizen.org/texas|.||||||||||||||||
Texans for Peace|"To serve as a central source for information about peace and justice organizations and events across Texas, to provide curriculum and teacher-training materials for school nonviolence throughout the state, and to represent Texas throughout the U.S. and the world as ""peace ambassadors."" "|Activism/Public Policy|.|None provided|"11900 Metric Blvd. Ste. J-163,
Austin, TX, 78758"|(512) 736-8385 |info@texansforpeace.org|"www.texansforpeace.org
"|Possibly non-active; website is not up-to-date||||||||||||||||
Texas Fair Trade Coalition |To educate Texans about the impact of trade on their lives and on the world around them; to turn the growing awareness of the dangers of corporate-led globalization into action for change; and to support trade reform that is fair to workers, the environment, family farmers, and public health, here and around the world.|Activism/Public Policy|.|Lobby; Research issues; Volunteer at events|.,.,.,0|(512) 912-6630|bobcash@citizenstrade.org|www.citizenstrade.org/ctc/texas/|Not much going on with this one; I suggest replacing this org with its parent group, the Citizens Trade Campaign||||||||||||||||
Texas Freedom Network|To advance a mainstream agenda of religious freedom and individual liberties; to monitor far-right issues, organizations, money, and leaders; to support public education; and to fight private school vouchers, textbook censorship, and faith-based deregulation.|Activism/Public Policy|.|Provide help with mailings, event planning, direct lobbying, and community outreach|"P.O. Box 1624,
Austin, Texas, 78767"|(512) 322-0545|tfn@tfn.org|www.tfn.org|.||||||||||||||||
"Texas NOW (National Organization for
Women)"|To eliminate discrimination and harassment in the workplace, schools, the justice system, and all other sectors of society; to secure abortion, birth control, and reproductive justice for all women; to end all forms of violence against women; to eradicate racism, sexism, and homophobia; and to promote equality and justice in our society.|Activism/Public Policy|.|None provided|.,.,.,0|None provided|austinareanow@gmail.com|www.nowaustin.org|.||||||||||||||||
Texas Public Interest Research Group |To deliver persistent, result-oriented public interest activism that protects consumers; encourages a fair, sustainable economy; and fosters responsive, democratic government.|Activism/Public Policy|.|Canvassing; Policy research; Fundraising; Administrative tasks; Internships|"815 Brazos Street Ste. 600,
Austin, TX, 78701 "|(512) 610-0085|"bscoggin@texpirg.org
"|www.texpirg.org/home|.||||||||||||||||
Third Coast Activist Resource Center|To help people in the Austin area in their efforts at organizing for social justice and ecological sustainability by distributing educational resources, organizing community events, and strengthening the local activist network that is part of a national and international movement for global justice.|Activism/Public Policy|.|None provided|.,.,.,0|None provided|pat@thirdcoastactivist.org|www.thirdcoastactivist.org|May not be active ||||||||||||||||
Animal Trustees of Austin|.|Animals|.|.|.,.,.,0|.|.|.|Merged with Emancipet||||||||||||||||
Austin Animal Center|To provide a safety net and placement services for lost and homeless animals in the community; to enforce animal regulations and assist the public with animal-related concerns in order to protect citizens and animals in our community; to provide animal services and education to the public in order to prevent animal homelessness and promote humane, compassionate treatment of animals and responsible pet ownership. Austin Animal Center is a no-kill shelter. |Animals|.|Exercise and care for dogs and cats; Help prospective pet-owners through the adoption process; Greet shelter visitors and answer questions|"7201 Levander Loop Bldg. A,
Austin, TX, 78702"|(512) 974-2000|animal.customerservice@austintexas.gov|www.austintexas.gov/department/aac|.||||||||||||||||
"Austin Dog Rescue
"|To save dogs from shelters, place dogs in loving homes, and promote responsible pet ownership.|Animals|.|"Foster a dog;
Work as an intake coordinator, veterinary
assistant, or post-adoption specialist "|.,.,.,0|None provided|None provided|www.austindog.org|.||||||||||||||||
Austin Humane Society|To provide life-saving programs that find animals homes, serve animals and people in times of crisis, prevent future homelessness through spay and neuter, and educate the community about responsible pet ownership.|Animals|.|Work with cats and dogs to keep them happy, healthy, and well-socialized during their stay at AHS and help them get adopted into loving homes; Assist potential adopters as needed|"124 W. Anderson Lane,
Austin, TX, 78752"|(512) 646-7387|volunteercoordinator@austinhumanesociety.org|www.austinhumanesociety.org|.||||||||||||||||
Austin Pets Alive|To provide the resources, education, and programs needed to eliminate the killing of companion animals, especially medically and behaviorally fragile pets that would not otherwise be saved.|Animals|.|Work in the APA thrift store; Foster animals; Provide care and attention to shelter animals; Help train and socialize shelter animals; Help advertise animals up for adoption; Work in the APA clinic (training required); Provide miscellanious support|"1156 W. Cesar Chavez, 
Austin, TX, 78703"|(512) 961-6519|volunteer@austinpetsalive.org|www.austinpetsalive.org|.||||||||||||||||
Austin Siamese Rescue|To provide responsible rescue, rehabilitation, and re-homing services to Siamese cats and their non-Siamese companions in the Central Texas area.|Animals|.|Foster cats|"P. O. Box 13474,
Austin, TX, 78711-3474"|(512) 354-7875|loveasiamese@yahoo.com|www.austinsiameserescue.org|.||||||||||||||||
Austin Zoo|To assist animals in need through rescue, rehabilitation, and education.|Animals|.|"Laundry and kitchen duties; Food prep for animals; Habitat maintenance; Occasional groundskeeping projects;
Assist in the Gift Shop. Volunteer opportunities are primarily long-term and working directly with animals is rare."|"10808 Rawhide Trail,
Austin, TX, 78736"|(512) 288-1490|info@austinzoo.org|www.austinzoo.org|.||||||||||||||||
Bat Conservation International|To conserve the world�s bats and their ecosystems to ensure a healthy planet.|Animals|.|Office assistantance (filing, data entry, mail sorting, etc.)|"500 N Capital of Texas Hwy. Bldg. 1, 
Austin, TX, 78746"|(512) 327-9721|jgiacona@batcon.org|www.batcon.org|.||||||||||||||||
Blue Dog Rescue|To find permanent, loving homes for at-risk homeless dogs in the Central Texas area.|Animals|.|Foster and transport dogs; Promote dogs up for adoption; Help plan and coordinate events; Assist with marketing and fundraising|"2541 S. IH-35 #200-328,
Round Rock, TX, 78664-7357"|None provided|info@bluedogrescue.com|www.bluedogrescue.com|.||||||||||||||||
Central Texas Dachshund Rescue|"To rehabilitate and rehome
dachshunds. "|Animals|.|Conduct adoption interviews; Perform house visits; Pull dogs from shelters; Transport dogs to vet appointments; Help with fundraisers; Foster|"7544 FM 1960 Road East #71,
Humble, TX, 77346"|None provided|info@ctdr.org|www.ctdr.org|.||||||||||||||||
Emancipet|To make high-quality spay/neuter and veterinary care affordable and accessible to all pet owners.|Animals|.|Help with social media and publicity; Volunteer at events; Volunteer as a greeter in a clinic; Volunteer for our mobile clinic|"7201 Levander Loop, Buildings I & K, 
Austin, TX, 78702"|(512) 587-7729|general@emancipet.org|www.emancipet.org|.||||||||||||||||
Greyhound Adoption League of Texas: Central Texas Chapter|To find responsible, loving homes for greyhounds, to acquaint the public with the desirability of greyhounds as pets, and to inform the public of the availability of these dogs for adoption.|Animals|.|"Foster and transport dogs; Coordinate and run events; Help with fundraising and grant writing; Manage online store; Assist with dog training; Assist with photography and videography; Help with PR and media outreach
"|"P.O. Box 10069, 
Austin, TX, 78766 "|(855) 446-3278 |volunteer@galtx-centex.org|www.galtx-centex.org|.||||||||||||||||
Hound Rescue Central Texas|To rescue and find kind, loving families for hounds in danger of euthanasia or hounds that have been removed from neglectful or abusive situations. To educate current and potential hound owners.|Animals|.|Foster dogs; Provide short-term dog-sitting and transportation; Train dogs; Manage newsletter; Assist with fundraising; Screen applicants; Manage website; Organize social events; Provide beagle and adoption information|"P.O. Box 28087,
Austin, TX, 78755"|.|info@houndrescue.com|www.houndrescue.com|.||||||||||||||||
Rescuties Animal Rescue|.|Animals|.|.|.,.,.,0|.|.|.|Appears non-active. Website down and phone number not working.||||||||||||||||
Texas Hearing and Service Dogs (now Service Dogs Inc.)|To improve the quality of life of persons living with disabilities by providing custom-trained Hearing and Service Dogs.|Animals|.|Help with events; Volunteer at the training center; Foster |"4925 Bell Springs Rd.,
Dripping Springs, TX, 78620"|(512) 858-1495|office@servicedogs.org|www.servicedogs.org|.||||||||||||||||
Texas Humane Legislation Network|"To promote the humane treatment
of animals through legislation, education,
and advocacy."|Animals|.|Specific to local chapters|"P.O. Box 685283,
Austin, TX, 78768-5283"|1 (888) 548-6263|CentralTXHumane@gmail.com|www.thln.org|.||||||||||||||||
Texas Veterinary Medical Association|To promote, advocate for, and protect the veterinary medical profession and to advance animal health for the well-being of animals and humans.|Animals|.|None provided|"8104 Exchange Dr.,
Austin, TX, 78754"|(512) 452-4224|info@tvma.org|www.tvma.org|.||||||||||||||||
Art Alliance Austin|To support and contribute to the growth, prominence, and sustainability of Austin�s art scene and ultimately contribute to Austin�s creative culture.|Arts|.|Help with events (general support; event set up/tear down; bar tending (must be TABC certified); event flow management; guest check-in and greeting; artist relations). Events include Pecha Kucha Nights, ARTBASH, Austin Art Breaks, and Art City: Austin Fine Arts Festival|"5811 Berkman Dr. Ste. 140,
Austin, TX, 78723"|(512) 609-8587|info@artallianceaustin.org|www.artallianceaustin.org|Volunteer opportunities inlcude bartending; not sure if that's ok to inlcude in a university publication. ||||||||||||||||
Austin Civic Orchestra|To provide high-quality musical experiences to a broad spectrum of the Austin community and surrounding areas.|Arts|.|Soliciting donations; Selling advertising; Selling tickets and merchandise during concerts; Conducting telephone surveys; Preparing for receptions|"P.O. Box 27132,
Austin, TX, 78755"|(512) 200-2261|"acomgr@austincivicorchestra.org

"|www.austincivicorchestra.org|.||||||||||||||||
Austin Film Society|To empower our community to make, watch, and love film and creative media. |Arts|.|Volunteer photographer; Internships|"1901 E 51st St,
Austin, TX, 78723
"|(512) 322-0145|christine@austinfilm.org|www.austinfilm.org|.||||||||||||||||
Austin Music Foundation|To strengthen and connect the local music industry and community with innovative programs that empower music professionals and music businesses within Austin�s creative economy. |Arts|.|Help with events and advertising|"P.O. Box 4309,
Austin, TX, 78765`1333 Shore District Dr. Suite 600,
Austin, TX, 78741"|(512) 542-0077|info@austinmusicfoundation.org|www.austinmusicfoundation.org|.||||||||||||||||
Creative Action|To provide hands-on, fun, and creative learning programs in classrooms, in after-school settings, and in the community.|Arts|.|Assist with after-school programs|2921 E. 17th St. Building B Box 7, Austin, TX, 78702|(512) 442-8773|christie@creativeaction.org|www.creativeaction.org|.||||||||||||||||
Texas Motion Picture Alliance|"To represent and advocate for a
robust community of professionals seeking
economic and creative incentives for media
work in Texas. "|Arts|.|None provided|"815-A Brazos Street #487, 
Austin, TX, 78701"|(512) 489-6723|info@txmpa.org|www.txmpa.org|.||||||||||||||||
Threads of Love|"To create clothing, blankets and
other handmade articles for tiny premature
and sick infants"|Arts|.|"Crochet, knit, or
sew blankets and other garments"|"P.O. Box 73,
Watson, Louisiana, 70786"|(225) 667-7714|.|www.threadsoflove.org|.||||||||||||||||
Zachary Scott Theater Center|To create intimate theatre experiences that ignite the imagination, inspire the spirit, and engage the community.|Arts|.|None provided|"202 South Lamar,
Austin, TX, 78704"|(512) 476-0541|.|zachtheatre.org|.||||||||||||||||
Austin Sports Commission|"To recruit, retain, and grow quality
sporting events in the Austin area that
increase economic vitality and brand Austin,
Texas as great sports destination."|Athletics|.|None provided|.,.,.,0|.|.|.|.||||||||||||||||
The Christi Center|"To provide love, hope, comfort,
and ongoing support to those who are
adjusting to life after the death of a loved
one. To educate the general public
regarding the issue of grief and other
concerns of the bereaved. "|Crisis|.|Kids Who Kare Meals; Maintenance around the Christi Center; Maintain and grow inthe Healing Garden|"2306 Hancock Dr.,
Austin, TX, 78756"|(512) 467-2600|info@christicenter.org|christicenter.org|.||||||||||||||||
"My Healing Place (Now: ""Austin Grief"")"|"To assist those who are
experiencing grief, loss, and trauma as the
result of a significant of traumatic loss (death
or non-death)."|Crisis|.|Become a Support Group Facilitator; Volunteer in the Austin Grief office; Fundraising; Event coordination; Child care during evening support groups|"2413 Greenlawn Pkwy.,
Austin, TX, 78757"|(512) 472-7878|info@austingrief.org|www.austingrief.org|.||||||||||||||||
LifeWorks|To teach innovative problem solving, shared accountability, and a relentless focus on achieving real, sustainable and measurable results for the clients we serve.|Crisis|.|Become a LifeWorks advocate; Host a gift card drive|"835 N Pleasant Valley,
Austin, TX, 78702"|(512) 735-2400|.|www.lifeworksaustin.org|.||||||||||||||||
Austin Herb Society|To provide education and encourage the cultivation and use of herbs for their beneficial purposes: medicinal, culinary, aromatic, as well as landscaping; and to provide charitable and volunteer support to our non-profit community and community projects|Environment/Sustainable Living|.|Become a member and volunteer in the garden|"2220 Barton Springs Rd.,
Austin, TX, 78746"|None provided|president@austinherbsociety.org|www.austinherbsociety.org|.||||||||||||||||
Austin Sustainable Communities Initiative|To provide  leadership, influences positive action through engagement, and creates measurable benefits for Austin by achieving net-zero community-wide greenhouse gas emissions by 2050, a healthy and just local food system, resource efficient strategies for municipal operations, tangible projects that demonstrate sustainability and a resilient and adaptive city.|Environment/Sustainable Living|.|.|.,.,.,0|.|.|.|.||||||||||||||||
The Austin Area Sustainability Indicators Project|To measure sustainability and quality of life in the six-county greater Austin region and to promote sustainability through data-based policy solutions.   |Environment/Sustainable Living|.|Contact organization for research collaboration opportunities|"2315 Red River St. P.O. Box Y,
Austin, TX, 78713"|(512) 232-7062|"sip@austin.utexas.edu

"|www.austinindicators.org|.||||||||||||||||
CLEAN AIR Force of Central Texas|To be a liaison among all stakeholders, coordinate the air quality planning of the private sector, provide a forum for public discussion, educate the public on air quality issues, and manage air quality improvement programs in Central Texas focused on motivating the citizens, businesses and governments of this region to take actions to reduce air pollution to protect public health and the health of our economy.|Environment/Sustainable Living|.|.|"PO. Box 29295,
Austin, TX, 78755"|(512) 225-7780|sarah@cleanairforce.org|cleanairforce.org|.||||||||||||||||
Green Corn Project|To educate and assist Central Texans in growing organic food gardens.|Environment/Sustainable Living|.|Become a Dig-In Leader; Attend a Seeds to Starts Workshop|"P.O. Box 49468,
Austin, TX, 78765`1210 Rosewood,
Austin, TX, 78702"|.|.|www.greencornproject.org|First address is the mailing address. Second address is the meetup location.||||||||||||||||
Keep Austin Beautiful|To provide resources and education to engage citizens in building more beautiful communities.|Environment/Sustainable Living|.|"Lead community service
projects; Participate in Days of
Service; Adopt-a-Creek; Internships "|55 North IH-35, Ste 215 Austin, TX, 78702|512-391-0617|.|keepaustinbeautiful.org|.||||||||||||||||
Ladybird Johnson Wildflower Center|To inspire to conservation of native plants.|Environment/Sustainable Living|.|Volunteer in the garden; Trail maintenance, brush-clearing, and construction in natural areas; Youth and family education; Become a docent; Become a Nature Play Leader; Work in the gift store; Help in the library; Fauna Survey|"4801 La Crosse Ave.,
Austin, TX, 78739"|(512) 232-0156|volunteer@wildflower.org|www.wildflower.org|.||||||||||||||||
People Organized in Defense of the Earth and her Resources (PODER)|"Our mission is redefining environmental issues as social and economic 
justice issues, and collectively setting our own agenda to address 
these concerns as basic human rights. We seek to empower our 
communities through education, advocacy and action. Our aim is to 
increase the participation of communities of color in corporate and 
government decision making related to toxic pollution, economic 
development and their impact on our neighborhoods."|Environment/Sustainable Living|.|None provided|"P.O. Box 6237,
Austin, TX, 78762
"|(512) 402-3311|poder.austin@gmail.com|www.poder-texas.org|.||||||||||||||||
Re-Energize Texas|"To unite a diversity of students and youth 
leaders in an alliance that supports and strengthens 
the student and youth climate movement in Texas.
 
"|Environment/Sustainable Living|.|.|.,.,.,0|.|.|.|Inactive website since 2007||||||||||||||||
Rhizome Collective|.|Environment/Sustainable Living|.|.|.,.,.,0|.|.|.|.||||||||||||||||
Save Barton Creek Association|Citizen group working to protect and conserve the six watersheds of the Barton Springs Edwards Aquifer (Barton, Bear, Little Bear, Onion, Slaughter and Williamson)|Environment/Sustainable Living|.|Numerous opportunities like water clean-up events, park cleanups, restoring parks, etc.|"P.O. Box 5923,
Austin, TX, 78763"|(512) 480-0055|SBCA@savebartoncreek.org|savebartoncreek.org|.||||||||||||||||
Save Our Springs Alliance|Works to protect the Edwards Aquifer, its springs and contributing streams, and the natural and cultural heritage of the Hill Country region and its watersheds, with special emphasis on Barton Springs. |Environment/Sustainable Living|.|Volunteer with SOS to prevent overpumping of Edward's Aquifer|"905 West Oltorf Suite A.,
Austin, Texas, 78704`P.O. Box 684881,
Austin, TX, 78768"|(512) 477-2320|sosinfo@sosalliance.org|sosalliance.org|.||||||||||||||||
Sierra Club � Lone Star Chapter|To explore, enjoy and protect the planet through active education and promotion of the responsible use of the Earth's ecosystems and resources.|Environment/Sustainable Living|.|Become involved in event planning, social media outreach and building coalitions|"6406 N I-35 STE 1805,
Austin, TX, 78752`PO Box 4998, Austin, TX, 78765 
"|(512) 477-1729|kristal.ibarra-rodriguez@sierraclub.org|www.sierraclub.org/texas|.||||||||||||||||
Sierra Student Coalition|"To explore, enjoy, and protect the wild places of the earth;
To practice and promote the responsible use of the earth's ecosystems and resources;
To educate and enlist humanity to protect and restore the quality of the natural and human environment; and to use all lawful means to carry out these objectives."|Environment/Sustainable Living|.|Ways to volunteer virtually and in person through data entry, social media platforms, etc.|"2101 Webster St Suite 1300,
Oakland, CA, 94612"|(415) 977-5500|information@sierraclub.org|www.sierraclub.org/youth|.||||||||||||||||
Sunshine Community Gardens|"To provide the Austin area spring transplants for 
their gardens, offer educational opportunities 
with garden tours, donations of seed and plants, 
and meeting space for other non-profits
"|Environment/Sustainable Living|.|Become a member and work as a gardener in various plots of the garden|"4814 Sunshine Dr,
Austin, TX, 78756`PO Box 302349,
Austin, TX, 78703
"|.|nick.sweeney@hotmail.com|www.sunshinecommunitygardens.org|.||||||||||||||||
Surfrider Foundation|Our mission is the protection and enjoyment of oceans, waves and beaches through a powerful activist network|Environment/Sustainable Living|.|Attend local meetings, work to advocate for local waterways, and gain opportunities to carpool to go surfing.|"9217 Colberg Dr,
Austin, TX, 78749
"|.|centraltexas@surfrider.org|www.centraltexas.surfrider.org|.||||||||||||||||
Sustainable Food Center|To cultivate a healthy community by strengthening the local food system and improving access to nutritious, affordable food|Environment/Sustainable Living|.|"Information booth, office data entry, garden, seed packing for ""Spread the Harvest"", garden beautification days, Spanish-English translators, childcare during classes, etc."|"2921 E. 17th Street Building C,
Austin, TX, 78702
"|(512) 236-0074|info@sustainablefoodcenter.org|www.sustainablefoodcenter.org|.||||||||||||||||
Urban Roots|"To use food and farming to transform the lives of young people 
and inspire, engage, and nourish the community
"|Environment/Sustainable Living|.|"Plant, cultivate, or harvest sustainably grown fruits and 
vegetables that are sold at local farmer�s markets and donated to hunger relief
"|"4900 Gonzales St,
Austin, TX, 78702`7651 Delwau Ln,
Austin, TX, 78725
"|(512) 750-8019|volunteer@urbanrootsatx.org|www.urbanrootsatx.org|First address is the office. Second address is the farm.||||||||||||||||
Wild Basin Wilderness Preserve|To provide the citizens of Travis County a sustainable system of signature parks and nature preserves linked by greenbelts and riparian corridors that furnishes recreational and educational opportunities and protects endangered species and significant natural and cultural resources.|Environment/Sustainable Living|.|Research, guiding tours, trail development, trash pickup|"805 North Capital of Texas Highway,
Austin, TX, 78746"|(512) 854-7275|parks@traviscountytx.gov|www.parks.traviscountytx.gov/find-a-park/wild-basin|.||||||||||||||||
Central Texas Food Bank|To nourish hungry people and lead the community in the fight against hunger.|Food/Necessities|.|Warehouse volunteering, ensuring food is safe and at highest quality. Community kitchen volunteering, preparing meals for Value Added Meal program, mobile food pantry, office, nutrition education, and garden opportunities|"6500 Metropolis Dr.,
Austin, TX, 78744"|(512) 282-2111|.|www.centraltexasfoodbank.org|.||||||||||||||||
Caritas of Austin|To prevent and end homelessness for people in Greater Austin|Food/Necessities|.|Serve Lunch in the Community Kitchen; Work with clients directly; Provide administrative support to staff members; Help with donation deliveries and pick-ups|"611 Neches Street,
Austin, Texas, 78701`P.O. Box 1947,
Austin, Texas, 78767
"|(512) 479-4610|mortiz@caritasofaustin.org|www.caritasofaustin.org|.||||||||||||||||
